new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,hosp_patients,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations_smoothed,new_people_vaccinated_smoothed,stringency_index,population
49579,51014.857,777,739.429,1.12,9412,33503,0.0454,22,0,0,0,0,0,0,66.2,332915074
57859,52229.143,999,750.857,1.14,9303,33935,0.0475,21,0,0,0,0,0,0,66.2,332915074
64240,53152.429,845,731.286,1.14,9478,34387,0.0491,20.4,0,0,0,0,0,0,66.2,332915074
69230,55144.714,943,727,1.15,9538,34639,0.0512,19.5,0,0,0,0,0,0,66.2,332915074
54857,55110.571,820,749.857,1.14,9516,34319,0.0514,19.5,0,0,0,0,0,0,66.2,332915074
52220,55970,463,749.286,1.16,9725,35011,0.0518,19.3,0,0,0,0,0,0,66.2,332915074
68637,59517.429,490,762.429,1.17,10075,36431,0.0546,18.3,0,0,0,0,0,0,66.2,332915074
61810,61264.714,937,785.286,1.17,10214,37408,0.0544,18.4,0,0,0,0,0,0,66.2,332915074
60735,61675.571,1174,810.286,1.17,10453,38148,0.0533,18.8,0,0,0,0,0,0,66.2,332915074
78494,63711.857,857,812,1.18,10650,38848,0.0531,18.8,0,0,0,0,0,0,66.2,332915074
82548,65614.429,950,813,1.19,10711,39074,0.0539,18.6,0,0,0,0,0,0,66.2,332915074
77461,68843.571,963,833.429,1.19,10713,39350,0.0565,17.7,0,0,0,0,0,0,66.2,332915074
61716,70200.143,458,832.714,1.19,10853,39984,0.0577,17.3,0,0,0,0,0,0,66.2,332915074
64973,69676.714,522,837.286,1.19,11110,41328,0.0571,17.5,0,0,0,0,0,0,62.5,332915074
76764,71813,1011,847.857,1.19,11434,42272,0.0584,17.1,0,0,0,0,0,0,62.5,332915074
85809,75395,1034,827.857,1.2,11647,43436,0.0601,16.6,0,0,0,0,0,0,62.5,332915074
91447,77245.429,1003,848.714,1.22,11824,44167,0.0621,16.1,0,0,0,0,0,0,62.5,332915074
99972,79734.571,1064,865,1.23,11851,45075,0.0639,15.7,0,0,0,0,0,0,62.5,332915074
88665,81335.143,931,860.429,1.25,11884,45048,0.0644,15.5,0,0,0,0,0,0,62.5,332915074
76275,83415,503,866.857,1.28,12128,46048,0.0685,14.6,0,0,0,0,0,0,62.5,332915074
82845,85968.143,557,871.857,1.28,12591,47933,0.0699,14.3,0,0,0,0,0,0,62.5,332915074
123535,92649.714,1597,955.571,1.29,12925,49067,0.0754,13.3,0,0,0,0,0,0,62.5,332915074
100623,94766,1120,967.857,1.27,13003,50465,0.077,13,0,0,0,0,0,0,62.5,332915074
128379,100042,1165,991,1.27,13228,51785,0.0794,12.6,0,0,0,0,0,0,62.5,332915074
124964,103612.286,1214,1012.429,1.26,13357,52838,0.0809,12.4,0,0,0,0,0,0,62.5,332915074
128465,109298,1117,1039,1.26,13479,53817,0.0832,12,0,0,0,0,0,0,62.5,332915074
117900,115244.429,563,1047.571,1.26,14008,55711,0.0832,12,0,0,0,0,0,0,62.5,332915074
120569,120633.571,759,1076.429,1.26,14409,58470,0.0849,11.8,0,0,0,0,0,0,65.28,332915074
135275,122310.714,1416,1050.571,1.26,14835,61415,0.0847,11.8,0,0,0,0,0,0,65.28,332915074
146665,128888.143,1443,1096.714,1.26,15116,63329,0.0878,11.4,0,0,0,0,0,0,65.28,332915074
159292,133304.286,1204,1102.286,1.26,15592,65199,0.0894,11.2,0,0,0,0,0,0,65.28,332915074
178118,140897.714,1200,1100.286,1.25,15867,66120,0.0925,10.8,0,0,0,0,0,0,65.28,332915074
165251,146152.857,1373,1136.857,1.24,16238,67215,0.095,10.5,0,0,0,0,0,0,65.28,332915074
138943,149159,788,1169,1.22,16808,69513,0.0954,10.5,0,0,0,0,0,0,65.28,332915074
156350,154270.571,814,1176.857,1.21,17538,73098,0.0968,10.3,0,0,0,0,0,0,75.46,332915074
162607,158175.143,1709,1218.714,1.19,18088,75496,0.0958,10.4,0,0,0,0,0,0,75.46,332915074
172207,161824,1942,1290,1.18,18331,77317,0.0953,10.5,0,0,0,0,0,0,75.46,332915074
192107,166511.857,2042,1409.714,1.17,18742,78341,0.096,10.4,0,0,0,0,0,0,75.46,332915074
200950,169773.571,1949,1516.714,1.15,18916,79734,0.0958,10.4,0,0,0,0,0,0,75.46,332915074
181165,172047,1638,1554.571,1.13,19091,79858,0.0946,10.6,0,0,0,0,0,0,75.46,332915074
146054,173062.857,1061,1593.571,1.11,19658,81792,0.0937,10.7,0,0,0,0,0,0,75.46,332915074
183116,176886.571,1073,1630.571,1.09,20176,84173,0.0933,10.7,0,0,0,0,0,0,75.46,332915074
172643,178320.286,2136,1691.571,1.07,20572,86039,0.0938,10.7,0,0,0,0,0,0,75.46,332915074
180197,179461.714,2253,1736,1.04,20831,87121,0.0938,10.7,0,0,0,0,0,0,75.46,332915074
116602,168675.286,1403,1644.714,1.02,21025,86550,0.0923,10.8,0,0,0,0,0,0,75.46,332915074
213603,170482.857,1552,1588,1.04,21327,88100,0.0972,10.3,0,0,0,0,0,0,75.46,332915074
170330,168935,1358,1548,1.04,21483,89600,0.0995,10.1,0,0,0,0,0,0,75.46,332915074
138012,167786.143,1051,1546.571,1.06,21919,92448,0.1013,9.9,0,0,0,0,0,0,75.46,332915074
157393,164111.429,1312,1580.714,1.09,22500,95095,0.1017,9.8,0,0,0,0,0,0,75.46,332915074
195989,167446.571,2552,1640.143,1.11,22868,96673,0.1044,9.6,0,0,0,0,0,0,75.46,332915074
197126,169865,2830,1722.571,1.13,22962,97838,0.1074,9.3,0,0,0,0,0,0,71.76,332915074
219599,184578.857,2969,1946.286,1.14,23043,97849,0.1106,9,0,0,0,0,0,0,71.76,332915074
234672,187588.714,2612,2097.714,1.14,23123,98140,0.1077,9.3,0,0,0,0,0,0,71.76,332915074
223934,195246.429,2390,2245.143,1.14,23172,97246,0.1098,9.1,0,0,0,0,0,0,71.76,332915074
178293,201000.857,1403,2295.429,1.13,23435,98653,0.1116,9,0,0,0,0,0,0,71.76,332915074
196568,206597.286,1559,2330.714,1.12,23892,101027,0.1137,8.8,0,0,0,0,0,0,71.76,332915074
224520,210673.143,2583,2335.143,1.11,24197,102304,0.1159,8.6,0,0,0,0,0,0,71.76,332915074
220639,214032.143,3181,2385.286,1.1,24612,104371,0.117,8.5,0,0,0,0,0,0,71.76,332915074
234151,216111,2986,2387.714,1.09,24636,105048,0.1175,8.5,0,0,0,0,0,0,71.76,332915074
240458,216937.571,3381,2497.571,1.08,24747,105653,0.1184,8.4,0,0,0,0,0,0,71.76,332915074
222463,216727.429,2533,2518,1.07,24634,105358,0.1182,8.5,0,0,0,0,0,0,71.76,332915074
191846,218663.571,1659,2554.571,1.06,25074,107402,0.1192,8.4,25991,21909,4731,0,0,0,71.76,332915074
212054,220875.857,1649,2567.429,1.06,25560,109689,0.1204,8.3,30450,26226,4833,0,4459,4317,71.76,332915074
223199,220687.143,2987,2625.143,1.05,25812,110996,0.1194,8.4,79669,73209,5073,0,26839,25650,71.76,332915074
236809,222997.143,3733,2704,1.04,25974,112009,0.1214,8.2,238972,227022,5523,0,70994,68371,71.76,332915074
238982,223687.286,3450,2770.286,1.03,25894,112445,0.1229,8.1,511216,492078,6253,0,121306,117542,71.76,332915074
250499,225121.714,2942,2707.571,1.01,25950,112114,0.1239,8.1,926386,898249,7479,0,180079,175268,71.76,332915074
198794,221740.429,2754,2739.143,0.99,25805,111086,0.1224,8.2,1108577,1076372,8514,0,180431,175744,71.76,332915074
193421,221965.429,1769,2754.857,0.98,26057,112401,0.1221,8.2,1213914,1179680,9265,0,169703,165396,71.76,332915074
200925,220375.571,1797,2776,0.97,26431,114648,0.1209,8.3,1596605,1555516,10692,0,223736,218470,71.76,332915074
203449,217554.143,3298,2820.429,0.96,26730,117527,0.1189,8.4,2046244,1996227,13469,0,280939,274717,71.76,332915074
222520,215512.857,3379,2769.857,0.94,26928,118105,0.1158,8.6,2621556,2558731,16318,0,340369,333101,71.76,332915074
211528,211590.857,2922,2694.429,0.92,26714,116273,0.1148,8.7,2818050,2750007,17452,0,329548,322561,71.76,332915074
120705,193048.857,1505,2489.143,0.91,26559,113495,0.1121,8.9,2830725,2762535,17549,0,272048,266327,71.76,332915074
226988,197076.571,1913,2369,0.94,26734,115520,0.1208,8.3,2972928,2900771,18475,0,266336,260628,71.76,332915074
135776,188841.571,1438,2321.714,0.97,27063,118987,0.1217,8.2,3069653,2994204,19225,0,265106,259218,71.76,332915074
